campaign,creative,total_payments,total_ltv,avg_late_payment_share,monetization_efficiency
campaign_561,creative_1299,4,253.13,1.000,63.28
campaign_190,creative_332,25,252.52,0.750,10.10
campaign_285,creative_676,10,252.17,1.000,25.22
campaign_369,creative_825,12,249.38,0.958,20.78
campaign_357,creative_234,40,248.24,0.871,6.21
campaign_190,creative_325,9,248.08,1.000,27.56
campaign_196,creative_331,56,244.99,0.665,4.37
campaign_345,creative_812,10,244.35,0.667,24.43
campaign_207,creative_332,17,244.34,1.000,14.37
campaign_71,creative_208,12,242.01,0.694,20.17
campaign_449,creative_333,16,241.90,1.000,15.12
campaign_38,creative_118,11,241.77,1.000,21.98
campaign_53,creative_153,18,241.33,1.000,13.41
campaign_55,creative_165,30,240.76,1.000,8.03
campaign_143,creative_375,6,240.11,1.000,40.02
campaign_369,creative_804,54,237.20,0.875,4.39
campaign_203,creative_521,49,235.33,0.991,4.80
campaign_47,creative_143,2,233.78,1.000,116.89
campaign_369,creative_822,11,233.41,1.000,21.22
campaign_191,creative_332,33,233.03,0.833,7.06
campaign_545,creative_1245,10,232.80,1.000,23.28
campaign_545,creative_1240,10,232.16,1.000,23.22
campaign_224,creative_572,14,231.10,1.000,16.51
campaign_151,creative_393,8,229.62,1.000,28.70
campaign_125,creative_327,7,229.20,0.900,32.74
campaign_271,creative_645,7,229.03,1.000,32.72
campaign_273,creative_644,9,227.42,1.000,25.27
campaign_207,creative_338,16,227.19,1.000,14.20
campaign_59,creative_173,13,226.45,1.000,17.42
campaign_191,creative_327,16,225.60,1.000,14.10
campaign_60,creative_173,10,224.45,0.889,22.45
campaign_436,creative_1008,6,224.45,1.000,37.41
campaign_554,creative_1269,20,223.64,1.000,11.18
campaign_84,creative_253,7,223.01,0.667,31.86
campaign_60,creative_174,3,223.00,1.000,74.33
campaign_204,creative_525,17,222.18,1.000,13.07
campaign_55,creative_162,11,220.19,1.000,20.02
campaign_124,creative_327,18,219.45,1.000,12.19
campaign_52,creative_153,7,219.00,1.000,31.29
campaign_71,creative_205,5,218.51,1.000,43.70
campaign_53,creative_156,6,216.92,1.000,36.15
campaign_38,creative_109,9,216.18,1.000,24.02
campaign_144,creative_372,8,215.83,1.000,26.98
campaign_193,creative_327,27,215.48,0.869,7.98
campaign_156,creative_397,13,214.85,1.000,16.53
campaign_60,creative_175,12,213.53,1.000,17.79
campaign_563,creative_1305,6,212.79,1.000,35.46
campaign_128,creative_340,4,211.76,1.000,52.94
campaign_125,creative_328,4,210.79,1.000,52.70
campaign_456,creative_342,3,207.38,1.000,69.13
campaign_369,creative_870,13,206.05,0.750,15.85
campaign_151,creative_381,5,206.03,1.000,41.21
campaign_449,creative_1034,9,205.21,1.000,22.80
campaign_551,creative_1265,5,204.64,1.000,40.93
campaign_60,creative_183,4,204.54,1.000,51.13
campaign_143,creative_374,4,204.06,1.000,51.02
campaign_478,creative_1107,2,203.43,1.000,101.71
campaign_551,creative_1263,13,203.13,1.000,15.63
campaign_55,creative_164,5,202.91,1.000,40.58
campaign_116,creative_305,4,202.70,1.000,50.68
campaign_357,creative_847,7,201.40,1.000,28.77
campaign_137,creative_358,20,201.28,1.000,10.06
campaign_207,creative_345,12,201.18,1.000,16.77
campaign_387,creative_897,3,200.16,1.000,66.72
campaign_287,creative_543,7,199.55,1.000,28.51
campaign_432,creative_984,3,199.23,1.000,66.41
campaign_455,creative_342,7,198.91,1.000,28.42
campaign_116,creative_303,2,198.81,1.000,99.41
campaign_149,creative_370,8,198.79,1.000,24.85
campaign_131,creative_347,2,197.60,1.000,98.80
campaign_136,creative_351,6,196.46,1.000,32.74
campaign_310,creative_733,2,196.44,1.000,98.22
campaign_327,creative_748,37,195.97,1.000,5.30
campaign_324,creative_234,7,194.75,1.000,27.82
campaign_388,creative_907,2,194.23,1.000,97.11
campaign_53,creative_160,14,193.22,1.000,13.80
campaign_357,creative_845,16,192.16,0.900,12.01
campaign_203,creative_332,37,191.80,0.989,5.18
campaign_136,creative_353,33,191.61,1.000,5.81
campaign_287,creative_644,9,191.10,1.000,21.23
campaign_257,creative_616,5,190.55,1.000,38.11
campaign_143,creative_365,2,190.24,1.000,95.12
campaign_562,creative_1304,2,189.32,1.000,94.66
campaign_289,creative_677,9,188.66,1.000,20.96
campaign_196,creative_340,33,187.50,0.989,5.68
campaign_414,creative_919,2,187.15,1.000,93.57
campaign_327,creative_513,15,186.71,0.963,12.45
campaign_207,creative_326,12,186.56,0.917,15.55
campaign_190,creative_324,18,185.94,1.000,10.33
campaign_447,creative_328,5,185.73,1.000,37.15
campaign_324,creative_229,27,185.67,1.000,6.88
campaign_467,creative_1073,2,185.36,1.000,92.68
campaign_456,creative_1040,32,184.65,0.973,5.77
campaign_357,creative_846,14,183.82,0.833,13.13
campaign_566,creative_1298,4,183.34,1.000,45.84
campaign_124,creative_334,2,182.57,1.000,91.29
campaign_345,creative_814,16,181.68,0.667,11.36
campaign_460,creative_334,9,181.43,0.929,20.16
campaign_141,creative_326,4,180.60,1.000,45.15
campaign_525,creative_1196,14,180.43,1.000,12.89
campaign_327,creative_785,31,180.04,0.944,5.81
campaign_38,creative_112,12,179.79,0.800,14.98
campaign_440,creative_1026,2,179.49,1.000,89.74
campaign_143,creative_315,6,179.01,1.000,29.84
campaign_545,creative_1234,3,178.59,1.000,59.53
campaign_258,creative_620,17,178.14,0.750,10.48
campaign_155,creative_417,5,177.96,1.000,35.59
campaign_42,creative_43,2,177.05,1.000,88.53
campaign_74,creative_221,25,176.68,0.962,7.07
campaign_435,creative_974,4,176.27,0.500,44.07
campaign_216,creative_551,16,176.24,1.000,11.02
campaign_125,creative_326,8,175.92,1.000,21.99
campaign_551,creative_1264,5,175.31,1.000,35.06
campaign_524,creative_1193,2,175.02,1.000,87.51
campaign_201,creative_332,22,174.95,1.000,7.95
campaign_195,creative_520,4,174.00,1.000,43.50
campaign_378,creative_828,6,173.22,1.000,28.87
campaign_584,creative_1347,2,173.16,1.000,86.58
campaign_336,creative_798,51,172.34,1.000,3.38
campaign_436,creative_996,3,172.15,1.000,57.38
campaign_38,creative_114,3,172.02,1.000,57.34
campaign_346,creative_819,3,171.63,1.000,57.21
campaign_35,creative_99,4,170.79,1.000,42.70
campaign_459,creative_1055,5,170.55,1.000,34.11
campaign_467,creative_1071,3,170.44,0.667,56.81
campaign_202,creative_536,3,170.11,1.000,56.70
campaign_4,creative_10,4,169.48,1.000,42.37
campaign_191,creative_521,16,168.98,1.000,10.56
campaign_522,creative_1186,5,168.95,1.000,33.79
campaign_190,creative_525,9,168.88,1.000,18.76
campaign_52,creative_156,11,168.74,1.000,15.34
campaign_136,creative_354,9,168.71,1.000,18.75
campaign_436,creative_1007,4,167.92,1.000,41.98
campaign_151,creative_305,4,167.82,1.000,41.95
campaign_151,creative_392,4,166.90,1.000,41.73
campaign_151,creative_395,6,166.42,1.000,27.74
campaign_71,creative_207,3,165.56,1.000,55.19
campaign_204,creative_327,19,165.13,1.000,8.69
campaign_561,creative_1302,14,164.71,0.636,11.77
campaign_192,creative_520,6,164.54,1.000,27.42
campaign_140,creative_350,12,164.07,1.000,13.67
campaign_285,creative_651,9,164.01,1.000,18.22
campaign_316,creative_748,2,163.70,1.000,81.85
campaign_126,creative_335,6,163.58,0.750,27.26
campaign_190,creative_521,9,162.95,1.000,18.11
campaign_125,creative_329,2,162.91,1.000,81.46
campaign_570,creative_1314,2,162.91,1.000,81.46
campaign_207,creative_539,9,162.82,1.000,18.09
campaign_545,creative_1243,7,162.07,1.000,23.15
campaign_193,creative_525,5,161.90,0.833,32.38
campaign_388,creative_909,2,161.85,1.000,80.93
campaign_52,creative_158,3,161.40,1.000,53.80
campaign_144,creative_373,6,161.31,1.000,26.89
campaign_152,creative_364,7,161.03,1.000,23.00
campaign_38,creative_108,13,160.78,0.556,12.37
campaign_430,creative_971,12,160.73,1.000,13.39
campaign_61,creative_185,2,160.38,1.000,80.19
campaign_136,creative_352,5,160.07,1.000,32.01
campaign_451,creative_1040,3,160.07,1.000,53.36
campaign_59,creative_174,5,160.04,1.000,32.01
campaign_124,creative_326,5,159.48,0.833,31.90
campaign_193,creative_324,11,159.44,0.619,14.49
campaign_123,creative_327,14,159.43,0.630,11.39
campaign_116,creative_306,4,159.04,1.000,39.76
campaign_433,creative_984,2,158.58,1.000,79.29
campaign_207,creative_538,10,158.45,1.000,15.85
campaign_151,creative_383,3,158.02,1.000,52.67
campaign_148,creative_370,6,157.60,1.000,26.27
campaign_204,creative_332,34,157.45,0.817,4.63
campaign_30,creative_83,7,156.96,1.000,22.42
campaign_369,creative_821,14,156.84,1.000,11.20
campaign_554,creative_1273,4,156.81,1.000,39.20
campaign_565,creative_1314,4,156.69,1.000,39.17
campaign_456,creative_1039,15,156.46,1.000,10.43
campaign_565,creative_1310,4,156.02,0.333,39.01
campaign_123,creative_326,8,155.69,0.667,19.46
campaign_462,creative_1058,3,155.60,1.000,51.87
campaign_150,creative_371,2,155.46,1.000,77.73
campaign_211,creative_544,3,154.73,1.000,51.58
campaign_285,creative_648,5,154.43,1.000,30.89
campaign_156,creative_422,5,153.28,1.000,30.66
campaign_207,creative_540,4,152.35,0.750,38.09
campaign_388,creative_902,8,151.78,1.000,18.97
campaign_190,creative_327,4,151.24,1.000,37.81
campaign_78,creative_233,3,150.95,1.000,50.32
campaign_145,creative_372,2,150.19,1.000,75.10
campaign_209,creative_543,2,150.19,1.000,75.10
campaign_144,creative_367,3,149.59,0.667,49.86
campaign_196,creative_527,5,149.37,1.000,29.87
campaign_156,creative_421,5,149.11,1.000,29.82
campaign_37,creative_85,5,148.86,1.000,29.77
campaign_573,creative_1334,2,148.14,1.000,74.07
campaign_104,creative_249,2,148.14,1.000,74.07
campaign_84,creative_254,2,148.14,1.000,74.07
campaign_162,creative_436,3,148.14,0.667,49.38
campaign_71,creative_211,2,148.14,1.000,74.07
campaign_109,creative_285,2,148.14,1.000,74.07
campaign_84,creative_259,4,148.14,1.000,37.04
campaign_104,creative_45,2,148.14,1.000,74.07
campaign_468,creative_1077,8,148.07,1.000,18.51
campaign_219,creative_557,2,147.94,1.000,73.97
campaign_44,creative_58,2,147.94,1.000,73.97
campaign_44,creative_55,2,147.94,1.000,73.97
campaign_383,creative_884,2,147.92,1.000,73.96
campaign_54,creative_157,21,147.72,0.630,7.03
campaign_140,creative_351,6,147.69,1.000,24.61
campaign_196,creative_528,3,147.69,1.000,49.23
campaign_378,creative_708,2,147.52,1.000,73.76
campaign_368,creative_708,2,147.52,1.000,73.76
campaign_282,creative_675,12,147.47,0.955,12.29
campaign_396,creative_916,2,147.17,1.000,73.58
campaign_125,creative_332,2,147.10,1.000,73.55
campaign_271,creative_644,45,146.96,0.988,3.27
campaign_193,creative_520,5,146.89,0.667,29.38
campaign_52,creative_157,14,146.87,1.000,10.49
campaign_188,creative_518,2,146.84,1.000,73.42
campaign_148,creative_380,2,146.84,1.000,73.42
campaign_451,creative_1044,2,146.84,1.000,73.42
campaign_192,creative_330,6,146.65,1.000,24.44
campaign_452,creative_342,2,146.50,1.000,73.25
campaign_359,creative_857,7,146.50,1.000,20.93
campaign_455,creative_523,3,145.82,1.000,48.61
campaign_345,creative_813,2,145.67,1.000,72.83
campaign_101,creative_33,9,145.59,1.000,16.18
campaign_72,creative_209,2,145.54,1.000,72.77
campaign_558,creative_1286,3,145.15,1.000,48.38
campaign_186,creative_508,3,144.72,1.000,48.24
campaign_436,creative_993,7,144.68,1.000,20.67
campaign_164,creative_439,6,144.34,1.000,24.06
campaign_149,creative_382,4,144.18,1.000,36.04
campaign_404,creative_927,2,144.06,1.000,72.03
campaign_388,creative_901,2,144.06,1.000,72.03
campaign_545,creative_1244,5,143.85,1.000,28.77
campaign_127,creative_335,4,143.58,1.000,35.90
campaign_123,creative_324,7,143.25,0.833,20.46
campaign_284,creative_640,3,142.76,1.000,47.59
campaign_284,creative_643,2,142.63,1.000,71.32
campaign_553,creative_1270,2,142.63,1.000,71.32
campaign_570,creative_1305,2,142.63,1.000,71.32
campaign_544,creative_1235,3,142.63,0.500,47.54
campaign_139,creative_358,3,142.63,0.500,47.54
campaign_26,creative_72,2,142.63,1.000,71.32
campaign_130,creative_346,2,142.63,1.000,71.32
campaign_144,creative_368,2,142.63,1.000,71.32
campaign_142,creative_367,2,142.63,1.000,71.32
campaign_436,creative_994,2,142.63,1.000,71.32
campaign_142,creative_372,2,142.63,1.000,71.32
campaign_139,creative_361,2,142.63,1.000,71.32
campaign_454,creative_1045,2,142.63,1.000,71.32
campaign_3,creative_8,2,142.63,1.000,71.32
campaign_144,creative_364,2,142.63,1.000,71.32
campaign_160,creative_427,4,142.44,1.000,35.61
campaign_565,creative_1316,4,142.01,1.000,35.50
campaign_407,creative_931,13,141.36,1.000,10.87
campaign_438,creative_1020,2,141.08,1.000,70.54
campaign_100,creative_53,3,140.73,1.000,46.91
campaign_180,creative_495,3,140.54,1.000,46.85
campaign_106,creative_280,2,140.50,1.000,70.25
campaign_83,creative_252,3,140.32,0.500,46.77
campaign_84,creative_258,2,140.32,1.000,70.16
campaign_29,creative_82,2,140.32,1.000,70.16
campaign_97,creative_62,2,140.32,1.000,70.16
campaign_496,creative_1130,13,140.16,1.000,10.78
campaign_204,creative_324,20,139.95,1.000,7.00
campaign_336,creative_799,21,139.93,0.900,6.66
campaign_166,creative_450,7,139.88,0.857,19.98
campaign_44,creative_59,4,139.65,1.000,34.91
campaign_140,creative_360,3,139.51,1.000,46.50
campaign_489,creative_1118,16,139.19,1.000,8.70
campaign_209,creative_542,2,139.17,1.000,69.58
campaign_190,creative_524,2,139.17,1.000,69.58
campaign_553,creative_1268,2,139.17,1.000,69.58
campaign_202,creative_521,3,139.16,1.000,46.39
campaign_216,creative_548,16,138.91,1.000,8.68
campaign_468,creative_1082,2,138.70,1.000,69.35
campaign_522,creative_1185,2,138.70,1.000,69.35
campaign_522,creative_1184,15,138.68,1.000,9.25
campaign_364,creative_859,12,138.66,1.000,11.56
campaign_103,creative_60,7,138.37,1.000,19.77
campaign_74,creative_217,28,138.23,1.000,4.94
campaign_298,creative_706,8,138.12,0.900,17.27
campaign_366,creative_824,9,137.86,1.000,15.32
campaign_103,creative_61,15,137.82,1.000,9.19
campaign_371,creative_804,2,137.36,1.000,68.68
campaign_331,creative_746,2,137.36,1.000,68.68
campaign_455,creative_1039,5,137.29,1.000,27.46
campaign_468,creative_1081,2,137.15,1.000,68.58
campaign_118,creative_315,21,136.88,1.000,6.52
campaign_161,creative_434,6,136.74,0.667,22.79
campaign_361,creative_856,4,136.74,1.000,34.19
campaign_187,creative_511,6,136.41,0.833,22.74
campaign_291,creative_688,2,136.36,1.000,68.18
campaign_87,creative_250,55,135.90,0.982,2.47
campaign_78,creative_235,2,135.84,1.000,67.92
campaign_55,creative_166,3,135.83,1.000,45.28
campaign_287,creative_678,2,135.61,1.000,67.81
campaign_104,creative_276,3,135.52,0.667,45.17
campaign_93,creative_60,2,135.52,1.000,67.76
campaign_112,creative_294,2,135.52,1.000,67.76
campaign_90,creative_45,2,135.52,1.000,67.76
campaign_369,creative_708,5,135.37,1.000,27.07
campaign_60,creative_176,6,135.26,1.000,22.54
campaign_272,creative_645,4,135.23,1.000,33.81
campaign_570,creative_1331,2,135.21,1.000,67.60
campaign_528,creative_1204,5,134.76,1.000,26.95
campaign_138,creative_350,4,134.66,1.000,33.66
campaign_102,creative_70,12,134.61,1.000,11.22
campaign_180,creative_466,13,134.09,1.000,10.31
campaign_432,creative_986,5,134.09,1.000,26.82
campaign_99,creative_51,15,133.90,1.000,8.93
campaign_160,creative_429,7,133.86,1.000,19.12
campaign_152,creative_315,2,133.79,1.000,66.90
campaign_87,creative_264,16,133.79,1.000,8.36
campaign_111,creative_292,23,133.59,1.000,5.81
campaign_185,creative_507,7,133.53,1.000,19.08
campaign_493,creative_1097,6,133.38,1.000,22.23
campaign_161,creative_432,8,133.31,1.000,16.66
campaign_90,creative_36,4,133.31,1.000,33.33
campaign_52,creative_152,7,132.91,1.000,18.99
campaign_571,creative_720,4,132.83,1.000,33.21
campaign_7,creative_10,5,132.72,0.800,26.54
campaign_161,creative_433,15,132.58,1.000,8.84
campaign_165,creative_441,18,132.54,0.944,7.36
campaign_136,creative_331,5,132.32,1.000,26.46
campaign_357,creative_232,7,132.18,1.000,18.88
campaign_134,creative_349,1,132.17,1.000,132.17
campaign_138,creative_358,3,132.16,1.000,44.05
campaign_401,creative_921,3,132.15,1.000,44.05
campaign_570,creative_1309,4,132.05,1.000,33.01
campaign_95,creative_267,7,131.97,1.000,18.85
campaign_156,creative_423,7,131.73,1.000,18.82
campaign_558,creative_1287,5,131.38,1.000,26.28
campaign_165,creative_442,4,131.19,1.000,32.80
campaign_468,creative_1078,6,131.03,1.000,21.84
campaign_191,creative_325,6,130.85,1.000,21.81
campaign_388,creative_903,4,130.84,1.000,32.71
campaign_139,creative_350,13,130.48,1.000,10.04
campaign_83,creative_250,4,130.43,1.000,32.61
campaign_41,creative_127,3,130.38,1.000,43.46
campaign_522,creative_1187,2,130.31,1.000,65.15
campaign_204,creative_330,3,130.25,1.000,43.42
campaign_35,creative_101,4,130.07,0.667,32.52
campaign_207,creative_327,30,130.05,1.000,4.34
campaign_321,creative_734,4,129.91,1.000,32.48
campaign_555,creative_1277,4,129.68,0.750,32.42
campaign_451,creative_329,7,129.68,1.000,18.53
campaign_476,creative_1103,1,129.66,1.000,129.66
campaign_108,creative_282,10,129.63,1.000,12.96
campaign_99,creative_271,9,129.62,1.000,14.40
campaign_314,creative_743,2,129.54,1.000,64.77
campaign_539,creative_1221,3,129.50,1.000,43.17
campaign_192,creative_325,3,129.38,1.000,43.13
campaign_316,creative_751,4,129.38,1.000,32.35
campaign_95,creative_263,8,129.02,1.000,16.13
campaign_371,creative_822,5,128.89,1.000,25.78
campaign_95,creative_248,17,128.83,1.000,7.58
campaign_163,creative_438,6,128.66,0.667,21.44
campaign_108,creative_280,5,128.62,1.000,25.72
campaign_103,creative_65,10,128.50,1.000,12.85
campaign_90,creative_39,7,128.37,0.857,18.34
campaign_357,creative_848,3,128.34,1.000,42.78
campaign_40,creative_75,2,128.32,1.000,64.16
campaign_268,creative_642,2,128.32,1.000,64.16
campaign_259,creative_622,6,128.24,1.000,21.37
campaign_114,creative_298,27,128.15,1.000,4.75
campaign_103,creative_66,15,128.11,1.000,8.54
campaign_118,creative_312,6,128.03,1.000,21.34
campaign_530,creative_1210,5,127.99,1.000,25.60
campaign_569,creative_1330,2,127.90,1.000,63.95
campaign_194,creative_339,2,127.60,1.000,63.80
campaign_130,creative_345,2,127.34,1.000,63.67
campaign_120,creative_322,3,127.34,1.000,42.45
campaign_570,creative_1308,8,126.80,1.000,15.85
campaign_367,creative_822,4,126.72,1.000,31.68
campaign_187,creative_509,16,126.71,1.000,7.92
campaign_281,creative_655,12,126.46,0.833,10.54
campaign_579,creative_1343,2,126.24,1.000,63.12
campaign_263,creative_632,9,126.15,1.000,14.02
campaign_149,creative_377,5,126.14,1.000,25.23
campaign_194,creative_521,5,126.13,0.800,25.23
campaign_191,creative_330,6,126.13,1.000,21.02
campaign_291,creative_686,5,125.90,1.000,25.18
campaign_327,creative_783,7,125.84,1.000,17.98
campaign_53,creative_158,3,125.81,1.000,41.94
campaign_166,creative_447,10,125.79,1.000,12.58
campaign_82,creative_246,2,125.68,1.000,62.84
campaign_495,creative_1127,5,125.61,1.000,25.12
campaign_551,creative_1262,4,125.42,1.000,31.35
campaign_378,creative_879,7,125.37,1.000,17.91
campaign_95,creative_251,14,125.04,1.000,8.93
campaign_92,creative_50,7,125.02,0.857,17.86
campaign_407,creative_930,45,124.99,0.956,2.78
campaign_195,creative_332,4,124.96,1.000,31.24
campaign_109,creative_284,23,124.92,0.957,5.43
campaign_409,creative_932,2,124.87,1.000,62.43
campaign_203,creative_519,28,124.67,0.981,4.45
campaign_38,creative_119,5,124.47,0.875,24.89
campaign_202,creative_525,3,124.40,1.000,41.47
campaign_103,creative_68,9,124.35,0.889,13.82
campaign_331,creative_784,14,124.32,1.000,8.88
campaign_378,creative_825,10,124.24,1.000,12.42
campaign_314,creative_502,5,124.20,1.000,24.84
campaign_78,creative_237,5,124.10,1.000,24.82
campaign_371,creative_821,2,123.94,1.000,61.97
campaign_324,creative_770,4,123.72,1.000,30.93
campaign_111,creative_296,4,123.63,0.750,30.91
campaign_455,creative_1043,7,123.40,1.000,17.63
campaign_151,creative_387,3,123.39,1.000,41.13
campaign_286,creative_543,3,123.07,1.000,41.02
campaign_289,creative_680,4,123.07,1.000,30.77
campaign_109,creative_287,15,123.02,1.000,8.20
campaign_139,creative_359,9,122.94,1.000,13.66
campaign_527,creative_1202,22,122.66,1.000,5.58
campaign_276,creative_654,3,122.35,1.000,40.78
campaign_107,creative_279,4,121.91,1.000,30.48
campaign_205,creative_327,7,121.21,1.000,17.32
campaign_281,creative_673,7,121.18,1.000,17.31
campaign_130,creative_335,2,121.13,1.000,60.57
campaign_64,creative_193,2,121.13,1.000,60.57
campaign_298,creative_702,4,121.03,1.000,30.26
campaign_257,creative_617,11,120.75,0.818,10.98
campaign_480,creative_1110,4,120.70,1.000,30.18
campaign_113,creative_298,32,120.48,1.000,3.77
campaign_387,creative_898,3,120.36,1.000,40.12
campaign_102,creative_69,4,120.22,1.000,30.05
campaign_174,creative_470,3,120.20,1.000,40.07
campaign_384,creative_890,12,119.92,0.917,9.99
campaign_99,creative_48,14,119.76,1.000,8.55
campaign_481,creative_1098,12,119.61,1.000,9.97
campaign_480,creative_1093,20,119.44,1.000,5.97
campaign_45,creative_139,2,119.44,1.000,59.72
campaign_524,creative_1191,2,119.34,1.000,59.67
campaign_87,creative_248,68,119.27,0.985,1.75
campaign_124,creative_328,6,119.22,1.000,19.87
campaign_91,creative_254,7,119.12,1.000,17.02
campaign_198,creative_518,6,119.08,1.000,19.85
campaign_151,creative_390,4,119.02,1.000,29.76
