campaign,total_payments,total_ltv,avg_late_payment_share,monetization_efficiency,campaign_tier
campaign_222,18,412.17,0.8148,22.90,Cut
campaign_498,86,411.68,0.9022,4.79,Cut
campaign_132,13,407.82,0.6250,31.37,Cut
campaign_453,106,401.68,0.9940,3.79,Cut
campaign_90,13,397.20,0.9524,30.55,Cut
campaign_166,21,382.03,0.7143,18.19,Cut
campaign_407,64,374.41,0.7389,5.85,Cut
campaign_102,24,368.66,0.5333,15.36,Cut
campaign_325,15,368.25,1.0000,24.55,Cut
campaign_358,39,367.81,1.0000,9.43,Cut
campaign_62,49,367.39,0.9921,7.50,Cut
campaign_466,5,366.00,1.0000,73.20,Cut
campaign_318,20,359.13,0.9667,17.96,Cut
campaign_16,36,358.19,0.7183,9.95,Cut
campaign_279,18,357.02,1.0000,19.83,Cut
campaign_112,17,356.47,0.9744,20.97,Cut
campaign_560,18,356.31,1.0000,19.79,Cut
campaign_495,13,352.85,1.0000,27.14,Cut
campaign_530,26,348.97,1.0000,13.42,Cut
campaign_176,21,348.74,1.0000,16.61,Cut
campaign_286,20,345.27,1.0000,17.26,Cut
campaign_478,7,344.44,1.0000,49.21,Cut
campaign_200,13,342.90,0.9667,26.38,Cut
campaign_171,62,342.83,0.8005,5.53,Cut
campaign_126,13,341.03,0.5000,26.23,Cut
campaign_489,27,339.66,1.0000,12.58,Cut
campaign_49,8,338.25,1.0000,42.28,Cut
campaign_263,17,333.94,1.0000,19.64,Cut
campaign_258,34,332.92,0.8750,9.79,Cut
campaign_154,14,332.24,1.0000,23.73,Cut
campaign_27,20,332.05,0.9643,16.60,Cut
campaign_220,19,331.93,0.9167,17.47,Cut
campaign_368,16,331.72,0.7500,20.73,Cut
campaign_205,20,331.60,1.0000,16.58,Cut
campaign_170,39,328.01,0.9647,8.41,Cut
campaign_19,58,322.53,1.0000,5.56,Cut
campaign_108,20,321.44,1.0000,16.07,Cut
campaign_387,6,320.52,1.0000,53.42,Cut
campaign_45,12,319.26,0.8889,26.60,Cut
campaign_29,7,318.85,0.7500,45.55,Cut
campaign_24,99,316.22,0.6953,3.19,Cut
campaign_479,25,311.94,1.0000,12.48,Cut
campaign_332,53,310.40,1.0000,5.86,Cut
campaign_188,13,306.46,0.9259,23.57,Cut
campaign_475,22,305.65,0.8920,13.89,Cut
campaign_589,29,304.58,1.0000,10.50,Cut
campaign_496,38,298.67,1.0000,7.86,Cut
campaign_415,27,298.53,1.0000,11.06,Cut
campaign_419,67,298.20,0.9958,4.45,Cut
campaign_414,25,297.56,0.9783,11.90,Cut
campaign_145,8,297.38,1.0000,37.17,Cut
campaign_167,6,294.91,1.0000,49.15,Cut
campaign_528,19,293.30,1.0000,15.44,Cut
campaign_401,31,292.98,1.0000,9.45,Cut
campaign_77,25,290.93,1.0000,11.64,Cut
campaign_562,4,290.15,1.0000,72.54,Cut
campaign_120,22,289.63,1.0000,13.16,Cut
campaign_209,4,289.36,1.0000,72.34,Cut
campaign_525,25,289.03,1.0000,11.56,Cut
campaign_425,90,287.64,0.9810,3.20,Cut
campaign_483,27,285.56,0.9762,10.58,Cut
campaign_153,13,284.10,1.0000,21.85,Cut
campaign_584,9,281.99,1.0000,31.33,Cut
campaign_127,12,278.48,0.5238,23.21,Cut
campaign_110,5,278.30,1.0000,55.66,Cut
campaign_296,7,277.99,1.0000,39.71,Cut
campaign_558,8,276.54,1.0000,34.57,Cut
campaign_117,8,275.49,1.0000,34.44,Cut
campaign_183,10,274.15,1.0000,27.42,Cut
campaign_3,9,270.25,0.5333,30.03,Cut
campaign_82,6,268.72,1.0000,44.79,Cut
campaign_569,5,267.79,1.0000,53.56,Cut
campaign_573,4,266.62,1.0000,66.66,Cut
campaign_422,10,263.00,0.8750,26.30,Cut
campaign_164,8,262.82,1.0000,32.85,Cut
campaign_309,28,261.28,0.9722,9.33,Cut
campaign_542,8,260.30,1.0000,32.54,Cut
campaign_409,10,259.64,1.0000,25.96,Cut
campaign_380,4,259.27,1.0000,64.82,Cut
campaign_307,5,258.51,1.0000,51.70,Cut
campaign_295,11,256.27,1.0000,23.30,Cut
campaign_128,6,256.08,1.0000,42.68,Cut
campaign_80,34,255.20,1.0000,7.51,Cut
campaign_76,43,255.17,1.0000,5.93,Cut
campaign_320,10,253.79,1.0000,25.38,Cut
campaign_338,30,251.40,1.0000,8.38,Cut
campaign_54,27,248.46,0.7222,9.20,Cut
campaign_430,15,248.10,1.0000,16.54,Cut
campaign_36,12,247.02,1.0000,20.59,Cut
campaign_526,27,243.44,1.0000,9.02,Cut
campaign_310,5,243.17,0.6667,48.63,Cut
campaign_383,4,240.36,1.0000,60.09,Cut
campaign_480,24,240.14,1.0000,10.01,Cut
campaign_21,28,239.95,1.0000,8.57,Cut
campaign_405,22,239.08,1.0000,10.87,Cut
campaign_34,4,238.40,1.0000,59.60,Cut
campaign_460,18,238.30,0.7143,13.24,Cut
campaign_585,11,235.89,1.0000,21.44,Cut
campaign_527,24,235.80,1.0000,9.83,Cut
campaign_58,10,235.16,0.9333,23.52,Cut
campaign_404,10,234.55,0.6667,23.45,Cut
campaign_523,6,234.26,1.0000,39.04,Cut
campaign_92,9,234.20,0.9286,26.02,Cut
campaign_47,2,233.78,1.0000,116.89,Cut
campaign_440,3,233.39,1.0000,77.80,Cut
campaign_184,24,231.92,1.0000,9.66,Cut
campaign_70,20,229.20,1.0000,11.46,Cut
campaign_505,177,225.39,0.9897,1.27,Cut
campaign_179,30,225.34,1.0000,7.51,Cut
campaign_81,24,224.04,1.0000,9.33,Cut
campaign_416,28,222.75,1.0000,7.96,Cut
campaign_412,28,221.57,1.0000,7.91,Cut
campaign_434,8,221.57,0.6000,27.70,Cut
campaign_65,13,220.88,1.0000,16.99,Cut
campaign_579,6,218.93,0.5000,36.49,Cut
campaign_242,54,218.44,1.0000,4.05,Cut
campaign_539,10,218.41,1.0000,21.84,Cut
campaign_219,7,217.78,0.5000,31.11,Cut
campaign_211,4,214.65,1.0000,53.66,Cut
campaign_8,9,213.06,1.0000,23.67,Cut
campaign_121,32,212.85,1.0000,6.65,Cut
campaign_283,6,212.14,1.0000,35.36,Cut
campaign_1,10,211.67,1.0000,21.17,Cut
campaign_547,11,209.61,1.0000,19.06,Cut
campaign_417,12,209.07,1.0000,17.42,Cut
campaign_504,69,209.06,1.0000,3.03,Cut
campaign_481,16,208.26,1.0000,13.02,Cut
campaign_299,20,205.24,0.9667,10.26,Cut
campaign_72,3,205.18,1.0000,68.39,Cut
campaign_249,54,204.70,0.9889,3.79,Cut
campaign_347,12,204.09,1.0000,17.01,Cut
campaign_250,133,202.47,0.9860,1.52,Cut
campaign_348,30,202.37,1.0000,6.75,Cut
campaign_408,32,202.23,1.0000,6.32,Cut
campaign_221,6,201.82,1.0000,33.64,Cut
campaign_268,4,200.29,1.0000,50.07,Cut
campaign_278,6,199.86,1.0000,33.31,Cut
campaign_490,5,198.16,1.0000,39.63,Cut
campaign_232,32,197.24,1.0000,6.16,Cut
campaign_428,10,195.32,1.0000,19.53,Cut
campaign_349,23,194.65,1.0000,8.46,Cut
campaign_389,6,193.56,0.8889,32.26,Cut
campaign_39,4,191.71,1.0000,47.93,Cut
campaign_317,21,191.48,1.0000,9.12,Cut
campaign_245,128,191.34,0.9747,1.49,Cut
campaign_429,13,191.02,1.0000,14.69,Cut
campaign_482,15,190.81,1.0000,12.72,Cut
campaign_521,8,190.29,1.0000,23.79,Cut
campaign_233,17,189.86,0.9697,11.17,Cut
campaign_218,4,189.80,1.0000,47.45,Cut
campaign_25,39,189.62,0.9892,4.86,Cut
campaign_32,7,187.96,0.4167,26.85,Cut
campaign_506,26,187.52,1.0000,7.21,Cut
campaign_571,5,187.42,1.0000,37.48,Cut
campaign_439,9,187.30,0.5714,20.81,Cut
campaign_493,8,187.00,1.0000,23.38,Cut
campaign_97,5,185.96,0.6667,37.19,Cut
campaign_447,5,185.73,1.0000,37.15,Cut
campaign_290,4,185.15,1.0000,46.29,Cut
campaign_438,3,184.17,1.0000,61.39,Cut
campaign_303,16,183.92,1.0000,11.49,Cut
campaign_515,14,183.62,0.8750,13.12,Cut
campaign_367,12,183.49,1.0000,15.29,Cut
campaign_465,7,182.12,1.0000,26.02,Cut
campaign_246,88,181.76,0.9921,2.07,Cut
campaign_113,34,181.44,1.0000,5.34,Cut
campaign_56,14,180.92,1.0000,12.92,Cut
campaign_372,59,179.96,1.0000,3.05,Cut
campaign_119,5,177.89,1.0000,35.58,Cut
campaign_572,4,177.72,1.0000,44.43,Cut
campaign_435,4,176.27,0.5000,44.07,Cut
campaign_548,6,175.67,1.0000,29.28,Cut
campaign_236,81,174.97,0.9588,2.16,Cut
campaign_360,20,174.49,1.0000,8.72,Cut
campaign_308,3,174.21,1.0000,58.07,Cut
campaign_533,5,173.62,1.0000,34.72,Cut
campaign_586,10,172.12,1.0000,17.21,Cut
campaign_518,45,171.63,1.0000,3.81,Cut
campaign_40,3,169.05,1.0000,56.35,Cut
campaign_98,8,168.49,1.0000,21.06,Cut
campaign_441,4,168.17,1.0000,42.04,Cut
campaign_484,20,166.95,1.0000,8.35,Cut
campaign_351,21,166.60,0.9778,7.93,Cut
campaign_509,36,166.50,1.0000,4.63,Cut
campaign_275,5,165.26,1.0000,33.05,Cut
campaign_61,2,160.38,1.0000,80.19,Cut
campaign_50,3,157.86,1.0000,52.62,Cut
campaign_410,28,156.75,0.9808,5.60,Cut
campaign_471,5,155.46,1.0000,31.09,Cut
campaign_79,13,154.20,1.0000,11.86,Cut
campaign_241,71,153.87,0.9861,2.17,Cut
campaign_235,31,153.27,0.9630,4.94,Cut
campaign_89,5,151.41,1.0000,30.28,Cut
campaign_470,6,150.41,1.0000,25.07,Cut
campaign_217,8,150.32,1.0000,18.79,Cut
campaign_411,21,149.92,1.0000,7.14,Cut
campaign_329,5,149.25,1.0000,29.85,Cut
campaign_162,4,148.14,0.3333,37.04,Cut
campaign_267,5,147.69,0.6667,29.54,Cut
campaign_282,12,147.47,0.9545,12.29,Cut
campaign_396,2,147.17,1.0000,73.58,Cut
campaign_343,5,145.33,1.0000,29.07,Cut
campaign_474,14,144.91,1.0000,10.35,Cut
campaign_541,9,144.58,1.0000,16.06,Cut
campaign_88,2,144.11,1.0000,72.05,Cut
campaign_328,11,143.78,1.0000,13.07,Cut
campaign_508,79,143.59,0.9949,1.82,Cut
campaign_544,7,142.63,0.1667,20.38,Cut
campaign_26,2,142.63,1.0000,71.32,Cut
campaign_514,25,142.18,1.0000,5.69,Cut
campaign_520,23,141.98,1.0000,6.17,Cut
campaign_531,4,141.65,1.0000,35.41,Cut
campaign_254,24,141.37,1.0000,5.89,Cut
campaign_374,2,141.36,1.0000,70.68,Cut
campaign_540,6,141.05,1.0000,23.51,Cut
campaign_512,100,139.98,1.0000,1.40,Cut
campaign_210,4,139.21,1.0000,34.80,Cut
campaign_300,16,138.45,1.0000,8.65,Cut
campaign_305,22,137.70,1.0000,6.26,Cut
campaign_519,28,137.49,1.0000,4.91,Cut
campaign_93,2,135.52,1.0000,67.76,Cut
campaign_304,12,134.16,1.0000,11.18,Cut
campaign_256,6,133.14,1.0000,22.19,Cut
campaign_134,1,132.17,1.0000,132.17,Cut
campaign_46,2,131.89,1.0000,65.94,Cut
campaign_476,1,129.66,1.0000,129.66,Cut
campaign_15,7,129.64,0.9000,18.52,Cut
campaign_163,8,128.66,0.3333,16.08,Cut
campaign_114,27,128.15,1.0000,4.75,Cut
campaign_115,7,127.23,0.5000,18.18,Cut
campaign_537,9,126.74,1.0000,14.08,Cut
campaign_492,11,126.17,1.0000,11.47,Cut
campaign_399,10,123.87,1.0000,12.39,Cut
campaign_244,16,123.00,1.0000,7.69,Cut
campaign_445,18,121.71,1.0000,6.76,Cut
campaign_64,2,121.13,1.0000,60.57,Cut
campaign_301,5,120.44,1.0000,24.09,Cut
campaign_146,2,118.93,1.0000,59.46,Cut
campaign_464,4,118.59,1.0000,29.65,Cut
campaign_550,9,118.36,1.0000,13.15,Cut
campaign_458,2,117.09,1.0000,58.54,Cut
campaign_472,16,114.82,1.0000,7.18,Cut
campaign_292,2,109.86,1.0000,54.93,Cut
campaign_516,15,109.85,0.9545,7.32,Cut
campaign_177,2,109.18,1.0000,54.59,Cut
campaign_159,2,107.97,1.0000,53.99,Cut
campaign_377,8,107.83,1.0000,13.48,Cut
campaign_559,3,107.82,1.0000,35.94,Cut
campaign_442,1,106.80,1.0000,106.80,Cut
campaign_503,6,106.39,0.6667,17.73,Cut
campaign_237,20,105.94,1.0000,5.30,Cut
campaign_206,2,104.42,1.0000,52.21,Cut
campaign_266,2,101.39,1.0000,50.69,Cut
campaign_12,2,101.04,1.0000,50.52,Cut
campaign_269,5,100.83,0.3333,20.17,Cut
campaign_135,2,100.83,1.0000,50.41,Cut
campaign_583,15,100.32,1.0000,6.69,Cut
campaign_543,2,96.62,1.0000,48.31,Cut
campaign_31,4,95.41,1.0000,23.85,Cut
campaign_66,4,94.02,1.0000,23.51,Cut
campaign_413,5,91.42,1.0000,18.28,Cut
campaign_260,5,89.67,1.0000,17.93,Cut
campaign_330,5,89.38,1.0000,17.88,Cut
campaign_588,7,88.44,1.0000,12.63,Cut
campaign_397,2,88.15,1.0000,44.07,Cut
campaign_477,5,87.81,1.0000,17.56,Cut
campaign_214,2,87.13,1.0000,43.56,Cut
campaign_535,2,87.13,1.0000,43.56,Cut
campaign_255,3,86.18,1.0000,28.73,Cut
campaign_342,2,85.57,1.0000,42.78,Cut
campaign_473,2,84.92,1.0000,42.46,Cut
campaign_400,19,84.62,1.0000,4.45,Cut
campaign_175,2,84.00,1.0000,42.00,Cut
campaign_172,5,83.67,1.0000,16.73,Cut
campaign_392,2,82.84,1.0000,41.42,Cut
campaign_294,4,80.30,1.0000,20.07,Cut
campaign_580,4,80.23,1.0000,20.06,Cut
campaign_491,2,80.09,1.0000,40.04,Cut
campaign_421,2,78.43,1.0000,39.22,Cut
campaign_243,41,78.26,1.0000,1.91,Cut
campaign_517,18,77.54,1.0000,4.31,Cut
campaign_297,3,77.07,1.0000,25.69,Cut
campaign_469,2,75.83,1.0000,37.92,Cut
campaign_230,3,74.84,1.0000,24.95,Cut
campaign_352,3,74.61,0.5000,24.87,Cut
campaign_406,1,74.45,1.0000,74.45,Cut
campaign_486,2,74.20,1.0000,37.10,Cut
campaign_370,1,73.98,1.0000,73.98,Cut
campaign_51,1,73.98,1.0000,73.98,Cut
campaign_323,1,73.97,1.0000,73.97,Cut
campaign_262,1,73.47,1.0000,73.47,Cut
campaign_105,1,72.21,1.0000,72.21,Cut
campaign_69,1,71.32,1.0000,71.32,Cut
campaign_169,1,70.04,1.0000,70.04,Cut
campaign_168,1,70.04,1.0000,70.04,Cut
campaign_590,3,70.01,1.0000,23.34,Cut
campaign_546,2,69.68,1.0000,34.84,Cut
campaign_240,2,69.64,1.0000,34.82,Cut
campaign_587,2,69.57,1.0000,34.78,Cut
campaign_251,2,69.52,1.0000,34.76,Cut
campaign_337,2,69.27,1.0000,34.63,Cut
campaign_43,1,68.68,1.0000,68.68,Cut
campaign_379,1,68.68,1.0000,68.68,Cut
campaign_529,2,68.26,1.0000,34.13,Cut
campaign_363,2,67.73,1.0000,33.86,Cut
campaign_223,1,66.55,1.0000,66.55,Cut
campaign_73,2,66.28,1.0000,33.14,Cut
campaign_513,4,65.29,1.0000,16.32,Cut
campaign_57,2,65.14,1.0000,32.57,Cut
campaign_534,4,64.98,1.0000,16.24,Cut
campaign_402,2,64.79,1.0000,32.40,Cut
campaign_488,3,63.72,1.0000,21.24,Cut
campaign_591,1,63.71,1.0000,63.71,Cut
campaign_264,1,62.37,1.0000,62.37,Cut
campaign_239,2,61.09,1.0000,30.54,Cut
campaign_215,1,60.57,1.0000,60.57,Cut
campaign_511,3,60.57,1.0000,20.19,Cut
campaign_339,2,59.33,1.0000,29.67,Cut
campaign_426,1,58.87,1.0000,58.87,Cut
campaign_226,11,58.84,0.9091,5.35,Cut
campaign_344,1,58.46,1.0000,58.46,Cut
campaign_395,1,58.18,1.0000,58.18,Cut
campaign_247,4,58.07,1.0000,14.52,Cut
campaign_552,5,57.87,1.0000,11.57,Cut
campaign_556,1,57.55,1.0000,57.55,Cut
campaign_423,3,57.36,1.0000,19.12,Cut
campaign_212,1,57.25,1.0000,57.25,Cut
campaign_9,1,57.25,1.0000,57.25,Cut
campaign_17,1,56.62,1.0000,56.62,Cut
campaign_373,1,54.59,1.0000,54.59,Cut
campaign_375,2,54.17,1.0000,27.08,Cut
campaign_261,8,54.04,1.0000,6.75,Cut
campaign_356,1,52.93,1.0000,52.93,Cut
campaign_67,1,52.35,1.0000,52.35,Cut
campaign_96,1,52.23,1.0000,52.23,Cut
campaign_538,2,51.56,1.0000,25.78,Cut
campaign_448,2,51.56,1.0000,25.78,Cut
campaign_33,2,50.99,1.0000,25.50,Cut
campaign_499,1,50.77,1.0000,50.77,Cut
campaign_567,1,50.41,1.0000,50.41,Cut
campaign_10,1,49.86,1.0000,49.86,Cut
campaign_501,2,49.66,1.0000,24.83,Cut
campaign_319,1,45.96,1.0000,45.96,Cut
campaign_225,14,45.77,1.0000,3.27,Cut
campaign_575,1,45.01,1.0000,45.01,Cut
campaign_381,2,44.95,1.0000,22.48,Cut
campaign_322,1,44.80,1.0000,44.80,Cut
campaign_431,2,44.75,1.0000,22.37,Cut
campaign_157,1,44.66,1.0000,44.66,Cut
campaign_280,1,44.48,1.0000,44.48,Cut
campaign_335,1,44.41,1.0000,44.41,Cut
campaign_487,5,44.32,1.0000,8.86,Cut
campaign_485,1,44.20,1.0000,44.20,Cut
campaign_457,1,43.85,1.0000,43.85,Cut
campaign_14,2,43.67,1.0000,21.84,Cut
campaign_574,1,43.56,1.0000,43.56,Cut
campaign_293,1,43.38,1.0000,43.38,Cut
campaign_234,2,42.75,1.0000,21.38,Cut
campaign_48,1,42.03,1.0000,42.03,Cut
campaign_403,1,42.01,1.0000,42.01,Cut
campaign_376,1,41.41,1.0000,41.41,Cut
campaign_85,1,40.73,1.0000,40.73,Cut
campaign_253,2,40.32,1.0000,20.16,Cut
campaign_333,1,40.03,1.0000,40.03,Cut
campaign_11,1,39.98,1.0000,39.98,Cut
campaign_385,4,39.29,1.0000,9.82,Cut
campaign_500,2,39.25,1.0000,19.63,Cut
campaign_355,1,39.07,1.0000,39.07,Cut
campaign_228,1,38.21,1.0000,38.21,Cut
campaign_494,1,38.13,1.0000,38.13,Cut
campaign_270,1,38.13,1.0000,38.13,Cut
campaign_340,2,38.03,1.0000,19.01,Cut
campaign_313,3,37.73,1.0000,12.58,Cut
campaign_178,2,37.63,1.0000,18.82,Cut
campaign_386,1,37.34,1.0000,37.34,Cut
campaign_393,1,37.34,1.0000,37.34,Cut
campaign_22,1,37.31,1.0000,37.31,Cut
campaign_394,2,37.30,1.0000,18.65,Cut
campaign_312,2,37.13,1.0000,18.57,Cut
campaign_277,1,37.09,1.0000,37.09,Cut
campaign_582,1,36.79,1.0000,36.79,Cut
campaign_502,1,36.67,1.0000,36.67,Cut
campaign_463,1,36.40,1.0000,36.40,Cut
campaign_536,1,36.30,1.0000,36.30,Cut
campaign_532,1,36.06,1.0000,36.06,Cut
campaign_581,1,35.80,1.0000,35.80,Cut
campaign_252,2,35.62,1.0000,17.81,Cut
campaign_213,1,35.56,1.0000,35.56,Cut
campaign_133,1,35.51,1.0000,35.51,Cut
campaign_6,1,34.92,1.0000,34.92,Cut
campaign_68,1,34.84,1.0000,34.84,Cut
campaign_75,1,34.84,1.0000,34.84,Cut
campaign_424,1,34.36,1.0000,34.36,Cut
