campaign,total_payments,total_ltv,avg_late_payment_share,monetization_efficiency
campaign_137,51,801.36,1.0000,15.71
campaign_467,50,798.72,0.9510,15.97
campaign_272,40,776.18,1.0000,19.40
campaign_364,76,770.60,0.9973,10.14
campaign_123,40,761.46,0.7863,19.04
campaign_189,35,759.21,1.0000,21.69
campaign_186,108,755.51,0.9855,7.00
campaign_554,33,737.90,0.9583,22.36
campaign_378,31,736.06,1.0000,23.74
campaign_281,41,734.88,0.9583,17.92
campaign_454,51,728.08,0.9881,14.28
campaign_371,28,727.20,1.0000,25.97
campaign_437,38,708.56,1.0000,18.65
campaign_152,22,707.34,1.0000,32.15
campaign_557,31,702.92,1.0000,22.67
campaign_433,13,692.21,0.8333,53.25
campaign_63,44,684.71,1.0000,15.56
campaign_199,60,683.84,1.0000,11.40
campaign_321,54,682.77,0.9780,12.64
campaign_87,157,666.64,0.9953,4.25
campaign_28,29,665.77,0.9796,22.96
campaign_104,11,659.47,0.9333,59.95
campaign_100,17,654.87,1.0000,38.52
campaign_224,42,653.75,1.0000,15.57
campaign_30,35,650.25,1.0000,18.58
campaign_42,48,646.76,0.9714,13.47
campaign_95,50,646.26,1.0000,12.93
campaign_345,29,645.46,0.7778,22.26
campaign_522,26,642.90,1.0000,24.73
campaign_315,48,637.81,0.9896,13.29
campaign_314,36,632.62,1.0000,17.57
campaign_37,54,622.04,0.8961,11.52
campaign_173,52,610.37,1.0000,11.74
campaign_346,37,608.89,1.0000,16.46
campaign_524,22,607.26,1.0000,27.60
campaign_7,29,606.72,0.9800,20.92
campaign_78,38,599.96,1.0000,15.79
campaign_384,49,586.50,0.9427,11.97
campaign_366,30,583.14,0.9583,19.44
campaign_216,71,571.56,1.0000,8.05
campaign_99,45,570.69,1.0000,12.68
campaign_91,29,570.42,1.0000,19.67
campaign_361,31,556.07,1.0000,17.94
campaign_306,41,549.57,0.9896,13.40
campaign_111,34,549.11,0.9500,16.15
campaign_449,29,545.88,1.0000,18.82
campaign_187,32,535.67,0.8333,16.74
campaign_41,49,525.52,0.9167,10.72
campaign_289,20,525.25,1.0000,26.26
campaign_316,24,521.95,1.0000,21.75
campaign_198,26,521.07,1.0000,20.04
campaign_450,38,518.54,1.0000,13.65
campaign_122,27,513.34,0.8571,19.01
campaign_180,22,508.73,1.0000,23.12
campaign_194,29,507.08,0.9000,17.49
campaign_5,25,505.93,0.9821,20.24
campaign_131,12,503.23,1.0000,41.94
campaign_4,12,502.68,1.0000,41.89
campaign_271,56,497.58,0.9967,8.89
campaign_160,21,496.03,1.0000,23.62
campaign_566,20,493.17,0.9778,24.66
campaign_257,19,490.70,0.9636,25.83
campaign_165,30,490.14,0.8241,16.34
campaign_354,30,488.35,1.0000,16.28
campaign_311,63,485.00,0.9949,7.70
campaign_359,45,476.64,1.0000,10.59
campaign_568,24,476.26,0.9792,19.84
campaign_462,38,470.99,0.9304,12.39
campaign_109,42,470.27,0.9891,11.20
campaign_331,22,467.69,0.9000,21.26
campaign_150,17,467.08,1.0000,27.48
campaign_259,22,466.36,0.9444,21.20
campaign_291,16,466.01,1.0000,29.13
campaign_155,20,465.00,1.0000,23.25
campaign_101,20,462.37,1.0000,23.12
campaign_161,30,461.87,0.9167,15.40
campaign_273,16,459.82,1.0000,28.74
campaign_353,50,456.32,0.9696,9.13
campaign_118,74,453.32,0.9968,6.13
campaign_23,66,451.75,1.0000,6.84
campaign_2,9,446.54,0.8000,49.62
campaign_182,46,440.83,0.9393,9.58
campaign_350,32,440.19,1.0000,13.76
campaign_382,39,435.71,1.0000,11.17
campaign_107,25,430.77,1.0000,17.23
campaign_185,27,430.13,0.9375,15.93
campaign_106,53,430.02,0.9760,8.11
campaign_174,31,425.12,0.9583,13.71
campaign_334,54,423.23,0.9618,7.84
campaign_302,60,421.11,1.0000,7.02
campaign_418,28,415.92,1.0000,14.85
campaign_555,11,415.19,0.8750,37.74
campaign_222,18,412.17,0.8148,22.90
campaign_498,86,411.68,0.9022,4.79
campaign_132,13,407.82,0.6250,31.37
campaign_453,106,401.68,0.9940,3.79
campaign_90,13,397.20,0.9524,30.55
campaign_166,21,382.03,0.7143,18.19
campaign_407,64,374.41,0.7389,5.85
campaign_102,24,368.66,0.5333,15.36
campaign_325,15,368.25,1.0000,24.55
campaign_358,39,367.81,1.0000,9.43
campaign_62,49,367.39,0.9921,7.50
campaign_466,5,366.00,1.0000,73.20
campaign_318,20,359.13,0.9667,17.96
campaign_16,36,358.19,0.7183,9.95
campaign_279,18,357.02,1.0000,19.83
campaign_112,17,356.47,0.9744,20.97
campaign_560,18,356.31,1.0000,19.79
campaign_495,13,352.85,1.0000,27.14
campaign_530,26,348.97,1.0000,13.42
campaign_176,21,348.74,1.0000,16.61
campaign_286,20,345.27,1.0000,17.26
campaign_478,7,344.44,1.0000,49.21
campaign_200,13,342.90,0.9667,26.38
campaign_171,62,342.83,0.8005,5.53
campaign_126,13,341.03,0.5000,26.23
campaign_489,27,339.66,1.0000,12.58
campaign_49,8,338.25,1.0000,42.28
campaign_263,17,333.94,1.0000,19.64
campaign_258,34,332.92,0.8750,9.79
campaign_154,14,332.24,1.0000,23.73
campaign_27,20,332.05,0.9643,16.60
campaign_220,19,331.93,0.9167,17.47
campaign_368,16,331.72,0.7500,20.73
campaign_205,20,331.60,1.0000,16.58
campaign_170,39,328.01,0.9647,8.41
campaign_19,58,322.53,1.0000,5.56
campaign_108,20,321.44,1.0000,16.07
campaign_387,6,320.52,1.0000,53.42
campaign_45,12,319.26,0.8889,26.60
campaign_29,7,318.85,0.7500,45.55
campaign_24,99,316.22,0.6953,3.19
campaign_479,25,311.94,1.0000,12.48
campaign_332,53,310.40,1.0000,5.86
campaign_188,13,306.46,0.9259,23.57
campaign_475,22,305.65,0.8920,13.89
campaign_589,29,304.58,1.0000,10.50
campaign_496,38,298.67,1.0000,7.86
campaign_415,27,298.53,1.0000,11.06
campaign_419,67,298.20,0.9958,4.45
campaign_414,25,297.56,0.9783,11.90
campaign_145,8,297.38,1.0000,37.17
campaign_167,6,294.91,1.0000,49.15
campaign_528,19,293.30,1.0000,15.44
campaign_401,31,292.98,1.0000,9.45
campaign_77,25,290.93,1.0000,11.64
campaign_562,4,290.15,1.0000,72.54
campaign_120,22,289.63,1.0000,13.16
campaign_209,4,289.36,1.0000,72.34
campaign_525,25,289.03,1.0000,11.56
campaign_425,90,287.64,0.9810,3.20
campaign_483,27,285.56,0.9762,10.58
campaign_153,13,284.10,1.0000,21.85
campaign_584,9,281.99,1.0000,31.33
campaign_127,12,278.48,0.5238,23.21
campaign_110,5,278.30,1.0000,55.66
campaign_296,7,277.99,1.0000,39.71
campaign_558,8,276.54,1.0000,34.57
campaign_117,8,275.49,1.0000,34.44
campaign_183,10,274.15,1.0000,27.42
campaign_3,9,270.25,0.5333,30.03
campaign_82,6,268.72,1.0000,44.79
campaign_569,5,267.79,1.0000,53.56
campaign_573,4,266.62,1.0000,66.66
campaign_422,10,263.00,0.8750,26.30
campaign_164,8,262.82,1.0000,32.85
campaign_309,28,261.28,0.9722,9.33
campaign_542,8,260.30,1.0000,32.54
campaign_409,10,259.64,1.0000,25.96
campaign_380,4,259.27,1.0000,64.82
campaign_307,5,258.51,1.0000,51.70
campaign_295,11,256.27,1.0000,23.30
campaign_128,6,256.08,1.0000,42.68
campaign_80,34,255.20,1.0000,7.51
campaign_76,43,255.17,1.0000,5.93
campaign_320,10,253.79,1.0000,25.38
campaign_338,30,251.40,1.0000,8.38
campaign_54,27,248.46,0.7222,9.20
campaign_430,15,248.10,1.0000,16.54
campaign_36,12,247.02,1.0000,20.59
campaign_526,27,243.44,1.0000,9.02
campaign_310,5,243.17,0.6667,48.63
campaign_383,4,240.36,1.0000,60.09
campaign_480,24,240.14,1.0000,10.01
campaign_21,28,239.95,1.0000,8.57
campaign_405,22,239.08,1.0000,10.87
campaign_34,4,238.40,1.0000,59.60
campaign_460,18,238.30,0.7143,13.24
campaign_585,11,235.89,1.0000,21.44
campaign_527,24,235.80,1.0000,9.83
campaign_58,10,235.16,0.9333,23.52
campaign_404,10,234.55,0.6667,23.45
campaign_523,6,234.26,1.0000,39.04
campaign_92,9,234.20,0.9286,26.02
campaign_47,2,233.78,1.0000,116.89
campaign_440,3,233.39,1.0000,77.80
campaign_184,24,231.92,1.0000,9.66
campaign_70,20,229.20,1.0000,11.46
campaign_505,177,225.39,0.9897,1.27
campaign_179,30,225.34,1.0000,7.51
campaign_81,24,224.04,1.0000,9.33
campaign_416,28,222.75,1.0000,7.96
campaign_412,28,221.57,1.0000,7.91
campaign_434,8,221.57,0.6000,27.70
campaign_65,13,220.88,1.0000,16.99
campaign_579,6,218.93,0.5000,36.49
campaign_242,54,218.44,1.0000,4.05
campaign_539,10,218.41,1.0000,21.84
campaign_219,7,217.78,0.5000,31.11
campaign_211,4,214.65,1.0000,53.66
campaign_8,9,213.06,1.0000,23.67
campaign_121,32,212.85,1.0000,6.65
campaign_283,6,212.14,1.0000,35.36
campaign_1,10,211.67,1.0000,21.17
campaign_547,11,209.61,1.0000,19.06
campaign_417,12,209.07,1.0000,17.42
campaign_504,69,209.06,1.0000,3.03
campaign_481,16,208.26,1.0000,13.02
campaign_299,20,205.24,0.9667,10.26
campaign_72,3,205.18,1.0000,68.39
campaign_249,54,204.70,0.9889,3.79
campaign_347,12,204.09,1.0000,17.01
campaign_250,133,202.47,0.9860,1.52
campaign_348,30,202.37,1.0000,6.75
campaign_408,32,202.23,1.0000,6.32
campaign_221,6,201.82,1.0000,33.64
campaign_268,4,200.29,1.0000,50.07
campaign_278,6,199.86,1.0000,33.31
campaign_490,5,198.16,1.0000,39.63
campaign_232,32,197.24,1.0000,6.16
campaign_428,10,195.32,1.0000,19.53
campaign_349,23,194.65,1.0000,8.46
campaign_389,6,193.56,0.8889,32.26
campaign_39,4,191.71,1.0000,47.93
campaign_317,21,191.48,1.0000,9.12
campaign_245,128,191.34,0.9747,1.49
campaign_429,13,191.02,1.0000,14.69
campaign_482,15,190.81,1.0000,12.72
campaign_521,8,190.29,1.0000,23.79
campaign_233,17,189.86,0.9697,11.17
campaign_218,4,189.80,1.0000,47.45
campaign_25,39,189.62,0.9892,4.86
campaign_32,7,187.96,0.4167,26.85
campaign_506,26,187.52,1.0000,7.21
campaign_571,5,187.42,1.0000,37.48
campaign_439,9,187.30,0.5714,20.81
campaign_493,8,187.00,1.0000,23.38
campaign_97,5,185.96,0.6667,37.19
campaign_447,5,185.73,1.0000,37.15
campaign_290,4,185.15,1.0000,46.29
campaign_438,3,184.17,1.0000,61.39
campaign_303,16,183.92,1.0000,11.49
campaign_515,14,183.62,0.8750,13.12
campaign_367,12,183.49,1.0000,15.29
campaign_465,7,182.12,1.0000,26.02
campaign_246,88,181.76,0.9921,2.07
campaign_113,34,181.44,1.0000,5.34
campaign_56,14,180.92,1.0000,12.92
campaign_372,59,179.96,1.0000,3.05
campaign_119,5,177.89,1.0000,35.58
campaign_572,4,177.72,1.0000,44.43
campaign_435,4,176.27,0.5000,44.07
campaign_548,6,175.67,1.0000,29.28
campaign_236,81,174.97,0.9588,2.16
campaign_360,20,174.49,1.0000,8.72
campaign_308,3,174.21,1.0000,58.07
campaign_533,5,173.62,1.0000,34.72
campaign_586,10,172.12,1.0000,17.21
campaign_518,45,171.63,1.0000,3.81
campaign_40,3,169.05,1.0000,56.35
campaign_98,8,168.49,1.0000,21.06
campaign_441,4,168.17,1.0000,42.04
campaign_484,20,166.95,1.0000,8.35
campaign_351,21,166.60,0.9778,7.93
campaign_509,36,166.50,1.0000,4.63
campaign_275,5,165.26,1.0000,33.05
campaign_61,2,160.38,1.0000,80.19
campaign_50,3,157.86,1.0000,52.62
campaign_410,28,156.75,0.9808,5.60
campaign_471,5,155.46,1.0000,31.09
campaign_79,13,154.20,1.0000,11.86
campaign_241,71,153.87,0.9861,2.17
campaign_235,31,153.27,0.9630,4.94
campaign_89,5,151.41,1.0000,30.28
campaign_470,6,150.41,1.0000,25.07
campaign_217,8,150.32,1.0000,18.79
campaign_411,21,149.92,1.0000,7.14
campaign_329,5,149.25,1.0000,29.85
campaign_162,4,148.14,0.3333,37.04
campaign_267,5,147.69,0.6667,29.54
campaign_282,12,147.47,0.9545,12.29
campaign_396,2,147.17,1.0000,73.58
campaign_343,5,145.33,1.0000,29.07
campaign_474,14,144.91,1.0000,10.35
campaign_541,9,144.58,1.0000,16.06
campaign_88,2,144.11,1.0000,72.05
campaign_328,11,143.78,1.0000,13.07
campaign_508,79,143.59,0.9949,1.82
campaign_544,7,142.63,0.1667,20.38
campaign_26,2,142.63,1.0000,71.32
campaign_514,25,142.18,1.0000,5.69
campaign_520,23,141.98,1.0000,6.17
campaign_531,4,141.65,1.0000,35.41
campaign_254,24,141.37,1.0000,5.89
campaign_374,2,141.36,1.0000,70.68
campaign_540,6,141.05,1.0000,23.51
campaign_512,100,139.98,1.0000,1.40
campaign_210,4,139.21,1.0000,34.80
campaign_300,16,138.45,1.0000,8.65
campaign_305,22,137.70,1.0000,6.26
campaign_519,28,137.49,1.0000,4.91
campaign_93,2,135.52,1.0000,67.76
campaign_304,12,134.16,1.0000,11.18
campaign_256,6,133.14,1.0000,22.19
campaign_134,1,132.17,1.0000,132.17
campaign_46,2,131.89,1.0000,65.94
campaign_476,1,129.66,1.0000,129.66
campaign_15,7,129.64,0.9000,18.52
campaign_163,8,128.66,0.3333,16.08
campaign_114,27,128.15,1.0000,4.75
campaign_115,7,127.23,0.5000,18.18
campaign_537,9,126.74,1.0000,14.08
campaign_492,11,126.17,1.0000,11.47
campaign_399,10,123.87,1.0000,12.39
campaign_244,16,123.00,1.0000,7.69
campaign_445,18,121.71,1.0000,6.76
campaign_64,2,121.13,1.0000,60.57
campaign_301,5,120.44,1.0000,24.09
campaign_146,2,118.93,1.0000,59.46
campaign_464,4,118.59,1.0000,29.65
campaign_550,9,118.36,1.0000,13.15
campaign_458,2,117.09,1.0000,58.54
campaign_472,16,114.82,1.0000,7.18
campaign_292,2,109.86,1.0000,54.93
campaign_516,15,109.85,0.9545,7.32
campaign_177,2,109.18,1.0000,54.59
campaign_159,2,107.97,1.0000,53.99
campaign_377,8,107.83,1.0000,13.48
campaign_559,3,107.82,1.0000,35.94
campaign_442,1,106.80,1.0000,106.80
campaign_503,6,106.39,0.6667,17.73
campaign_237,20,105.94,1.0000,5.30
campaign_206,2,104.42,1.0000,52.21
campaign_266,2,101.39,1.0000,50.69
campaign_12,2,101.04,1.0000,50.52
campaign_269,5,100.83,0.3333,20.17
campaign_135,2,100.83,1.0000,50.41
campaign_583,15,100.32,1.0000,6.69
campaign_543,2,96.62,1.0000,48.31
campaign_31,4,95.41,1.0000,23.85
campaign_66,4,94.02,1.0000,23.51
campaign_413,5,91.42,1.0000,18.28
campaign_260,5,89.67,1.0000,17.93
campaign_330,5,89.38,1.0000,17.88
campaign_588,7,88.44,1.0000,12.63
campaign_397,2,88.15,1.0000,44.07
campaign_477,5,87.81,1.0000,17.56
campaign_214,2,87.13,1.0000,43.56
campaign_535,2,87.13,1.0000,43.56
campaign_255,3,86.18,1.0000,28.73
campaign_342,2,85.57,1.0000,42.78
campaign_473,2,84.92,1.0000,42.46
campaign_400,19,84.62,1.0000,4.45
campaign_175,2,84.00,1.0000,42.00
campaign_172,5,83.67,1.0000,16.73
campaign_392,2,82.84,1.0000,41.42
campaign_294,4,80.30,1.0000,20.07
campaign_580,4,80.23,1.0000,20.06
campaign_491,2,80.09,1.0000,40.04
campaign_421,2,78.43,1.0000,39.22
campaign_243,41,78.26,1.0000,1.91
campaign_517,18,77.54,1.0000,4.31
campaign_297,3,77.07,1.0000,25.69
campaign_469,2,75.83,1.0000,37.92
campaign_230,3,74.84,1.0000,24.95
campaign_352,3,74.61,0.5000,24.87
campaign_406,1,74.45,1.0000,74.45
campaign_486,2,74.20,1.0000,37.10
campaign_370,1,73.98,1.0000,73.98
campaign_51,1,73.98,1.0000,73.98
campaign_323,1,73.97,1.0000,73.97
campaign_262,1,73.47,1.0000,73.47
campaign_105,1,72.21,1.0000,72.21
campaign_69,1,71.32,1.0000,71.32
campaign_169,1,70.04,1.0000,70.04
campaign_168,1,70.04,1.0000,70.04
campaign_590,3,70.01,1.0000,23.34
campaign_546,2,69.68,1.0000,34.84
campaign_240,2,69.64,1.0000,34.82
campaign_587,2,69.57,1.0000,34.78
campaign_251,2,69.52,1.0000,34.76
campaign_337,2,69.27,1.0000,34.63
campaign_43,1,68.68,1.0000,68.68
campaign_379,1,68.68,1.0000,68.68
campaign_529,2,68.26,1.0000,34.13
campaign_363,2,67.73,1.0000,33.86
campaign_223,1,66.55,1.0000,66.55
campaign_73,2,66.28,1.0000,33.14
campaign_513,4,65.29,1.0000,16.32
campaign_57,2,65.14,1.0000,32.57
campaign_534,4,64.98,1.0000,16.24
campaign_402,2,64.79,1.0000,32.40
campaign_488,3,63.72,1.0000,21.24
campaign_591,1,63.71,1.0000,63.71
campaign_264,1,62.37,1.0000,62.37
campaign_239,2,61.09,1.0000,30.54
campaign_215,1,60.57,1.0000,60.57
campaign_511,3,60.57,1.0000,20.19
campaign_339,2,59.33,1.0000,29.67
campaign_426,1,58.87,1.0000,58.87
campaign_226,11,58.84,0.9091,5.35
campaign_344,1,58.46,1.0000,58.46
campaign_395,1,58.18,1.0000,58.18
campaign_247,4,58.07,1.0000,14.52
campaign_552,5,57.87,1.0000,11.57
campaign_556,1,57.55,1.0000,57.55
campaign_423,3,57.36,1.0000,19.12
campaign_212,1,57.25,1.0000,57.25
campaign_9,1,57.25,1.0000,57.25
campaign_17,1,56.62,1.0000,56.62
campaign_373,1,54.59,1.0000,54.59
campaign_375,2,54.17,1.0000,27.08
campaign_261,8,54.04,1.0000,6.75
campaign_356,1,52.93,1.0000,52.93
campaign_67,1,52.35,1.0000,52.35
campaign_96,1,52.23,1.0000,52.23
campaign_538,2,51.56,1.0000,25.78
campaign_448,2,51.56,1.0000,25.78
campaign_33,2,50.99,1.0000,25.50
campaign_499,1,50.77,1.0000,50.77
campaign_567,1,50.41,1.0000,50.41
campaign_10,1,49.86,1.0000,49.86
campaign_501,2,49.66,1.0000,24.83
campaign_319,1,45.96,1.0000,45.96
campaign_225,14,45.77,1.0000,3.27
campaign_575,1,45.01,1.0000,45.01
campaign_381,2,44.95,1.0000,22.48
campaign_322,1,44.80,1.0000,44.80
campaign_431,2,44.75,1.0000,22.37
campaign_157,1,44.66,1.0000,44.66
campaign_280,1,44.48,1.0000,44.48
campaign_335,1,44.41,1.0000,44.41
campaign_487,5,44.32,1.0000,8.86
campaign_485,1,44.20,1.0000,44.20
campaign_457,1,43.85,1.0000,43.85
campaign_14,2,43.67,1.0000,21.84
campaign_574,1,43.56,1.0000,43.56
campaign_293,1,43.38,1.0000,43.38
campaign_234,2,42.75,1.0000,21.38
campaign_48,1,42.03,1.0000,42.03
campaign_403,1,42.01,1.0000,42.01
campaign_376,1,41.41,1.0000,41.41
campaign_85,1,40.73,1.0000,40.73
campaign_253,2,40.32,1.0000,20.16
campaign_333,1,40.03,1.0000,40.03
campaign_11,1,39.98,1.0000,39.98
campaign_385,4,39.29,1.0000,9.82
campaign_500,2,39.25,1.0000,19.63
campaign_355,1,39.07,1.0000,39.07
campaign_228,1,38.21,1.0000,38.21
campaign_494,1,38.13,1.0000,38.13
campaign_270,1,38.13,1.0000,38.13
campaign_340,2,38.03,1.0000,19.01
campaign_313,3,37.73,1.0000,12.58
campaign_178,2,37.63,1.0000,18.82
campaign_386,1,37.34,1.0000,37.34
campaign_393,1,37.34,1.0000,37.34
campaign_22,1,37.31,1.0000,37.31
campaign_394,2,37.30,1.0000,18.65
campaign_312,2,37.13,1.0000,18.57
campaign_277,1,37.09,1.0000,37.09
campaign_582,1,36.79,1.0000,36.79
campaign_502,1,36.67,1.0000,36.67
campaign_463,1,36.40,1.0000,36.40
campaign_536,1,36.30,1.0000,36.30
campaign_532,1,36.06,1.0000,36.06
campaign_581,1,35.80,1.0000,35.80
campaign_252,2,35.62,1.0000,17.81
campaign_213,1,35.56,1.0000,35.56
campaign_133,1,35.51,1.0000,35.51
campaign_6,1,34.92,1.0000,34.92
campaign_68,1,34.84,1.0000,34.84
campaign_75,1,34.84,1.0000,34.84
campaign_424,1,34.36,1.0000,34.36
campaign_427,1,34.36,1.0000,34.36
campaign_461,1,34.12,1.0000,34.12
campaign_158,1,34.12,1.0000,34.12
campaign_507,2,34.11,1.0000,17.05
campaign_510,3,33.32,1.0000,11.11
campaign_398,1,33.10,1.0000,33.10
campaign_197,1,32.57,1.0000,32.57
campaign_238,2,32.33,1.0000,16.17
campaign_208,1,31.41,1.0000,31.41
campaign_390,1,30.76,1.0000,30.76
campaign_227,1,29.05,1.0000,29.05
campaign_443,1,28.82,1.0000,28.82
campaign_265,1,28.75,1.0000,28.75
campaign_391,1,27.93,1.0000,27.93
campaign_181,1,27.50,1.0000,27.50
campaign_274,1,26.48,1.0000,26.48
campaign_497,1,26.37,1.0000,26.37
campaign_86,1,25.78,1.0000,25.78
campaign_362,1,23.06,1.0000,23.06
campaign_20,3,22.94,1.0000,7.65
campaign_444,1,22.86,1.0000,22.86
campaign_326,1,22.82,1.0000,22.82
campaign_549,1,22.82,1.0000,22.82
campaign_18,2,22.82,1.0000,11.41
campaign_231,1,19.85,1.0000,19.85
campaign_365,1,19.01,1.0000,19.01
campaign_341,1,18.18,1.0000,18.18
campaign_229,1,17.81,1.0000,17.81
campaign_248,1,16.17,1.0000,16.17
campaign_13,1,0.00,0.0000,0.00
campaign_420,1,0.00,0.0000,0.00
campaign_94,1,0.00,0.0000,0.00
campaign_129,5,0.00,0.0000,0.00
campaign_576,1,0.00,0.0000,0.00
campaign_577,2,0.00,0.0000,0.00
campaign_288,1,0.00,0.0000,0.00
campaign_147,1,0.00,0.0000,0.00
campaign_578,1,0.00,0.0000,0.00
