campaign_rank,campaign,total_payments,total_ltv,revenue_share_pct,cumulative_revenue_share_pct,pareto_segment
138,campaign_331,22,467.69,0.21,65.83,Top revenue concentration
139,campaign_150,17,467.08,0.21,66.04,Top revenue concentration
140,campaign_259,22,466.36,0.21,66.25,Top revenue concentration
141,campaign_291,16,466.01,0.21,66.46,Top revenue concentration
142,campaign_155,20,465.00,0.21,66.67,Top revenue concentration
143,campaign_101,20,462.37,0.21,66.89,Top revenue concentration
144,campaign_161,30,461.87,0.21,67.10,Top revenue concentration
145,campaign_273,16,459.82,0.21,67.30,Top revenue concentration
146,campaign_353,50,456.32,0.21,67.51,Top revenue concentration
147,campaign_118,74,453.32,0.21,67.72,Top revenue concentration
148,campaign_23,66,451.75,0.21,67.92,Top revenue concentration
149,campaign_2,9,446.54,0.20,68.13,Top revenue concentration
150,campaign_182,46,440.83,0.20,68.33,Top revenue concentration
151,campaign_350,32,440.19,0.20,68.53,Top revenue concentration
152,campaign_382,39,435.71,0.20,68.73,Top revenue concentration
153,campaign_107,25,430.77,0.20,68.92,Top revenue concentration
154,campaign_185,27,430.13,0.20,69.12,Top revenue concentration
155,campaign_106,53,430.02,0.20,69.31,Top revenue concentration
156,campaign_174,31,425.12,0.19,69.51,Top revenue concentration
157,campaign_334,54,423.23,0.19,69.70,Top revenue concentration
158,campaign_302,60,421.11,0.19,69.89,Top revenue concentration
159,campaign_418,28,415.92,0.19,70.08,Top revenue concentration
160,campaign_555,11,415.19,0.19,70.27,Top revenue concentration
161,campaign_222,18,412.17,0.19,70.46,Top revenue concentration
162,campaign_498,86,411.68,0.19,70.64,Top revenue concentration
163,campaign_132,13,407.82,0.19,70.83,Top revenue concentration
164,campaign_453,106,401.68,0.18,71.01,Top revenue concentration
165,campaign_90,13,397.20,0.18,71.19,Top revenue concentration
166,campaign_166,21,382.03,0.17,71.37,Top revenue concentration
167,campaign_407,64,374.41,0.17,71.54,Top revenue concentration
168,campaign_102,24,368.66,0.17,71.71,Top revenue concentration
169,campaign_325,15,368.25,0.17,71.87,Top revenue concentration
170,campaign_358,39,367.81,0.17,72.04,Top revenue concentration
171,campaign_62,49,367.39,0.17,72.21,Top revenue concentration
172,campaign_466,5,366.00,0.17,72.37,Top revenue concentration
173,campaign_318,20,359.13,0.16,72.54,Top revenue concentration
174,campaign_16,36,358.19,0.16,72.70,Top revenue concentration
175,campaign_279,18,357.02,0.16,72.86,Top revenue concentration
176,campaign_112,17,356.47,0.16,73.03,Top revenue concentration
177,campaign_560,18,356.31,0.16,73.19,Top revenue concentration
178,campaign_495,13,352.85,0.16,73.35,Top revenue concentration
179,campaign_530,26,348.97,0.16,73.51,Top revenue concentration
180,campaign_176,21,348.74,0.16,73.67,Top revenue concentration
181,campaign_286,20,345.27,0.16,73.82,Top revenue concentration
182,campaign_478,7,344.44,0.16,73.98,Top revenue concentration
183,campaign_200,13,342.90,0.16,74.14,Top revenue concentration
184,campaign_171,62,342.83,0.16,74.29,Top revenue concentration
185,campaign_126,13,341.03,0.16,74.45,Top revenue concentration
186,campaign_489,27,339.66,0.15,74.60,Top revenue concentration
187,campaign_49,8,338.25,0.15,74.76,Top revenue concentration
188,campaign_263,17,333.94,0.15,74.91,Top revenue concentration
189,campaign_258,34,332.92,0.15,75.06,Top revenue concentration
190,campaign_154,14,332.24,0.15,75.21,Top revenue concentration
191,campaign_27,20,332.05,0.15,75.36,Top revenue concentration
192,campaign_220,19,331.93,0.15,75.51,Top revenue concentration
193,campaign_368,16,331.72,0.15,75.66,Top revenue concentration
194,campaign_205,20,331.60,0.15,75.81,Top revenue concentration
195,campaign_170,39,328.01,0.15,75.96,Top revenue concentration
196,campaign_19,58,322.53,0.15,76.11,Top revenue concentration
197,campaign_108,20,321.44,0.15,76.26,Top revenue concentration
198,campaign_387,6,320.52,0.15,76.40,Top revenue concentration
199,campaign_45,12,319.26,0.15,76.55,Top revenue concentration
200,campaign_29,7,318.85,0.15,76.69,Top revenue concentration
201,campaign_24,99,316.22,0.14,76.84,Top revenue concentration
202,campaign_479,25,311.94,0.14,76.98,Top revenue concentration
203,campaign_332,53,310.40,0.14,77.12,Top revenue concentration
204,campaign_188,13,306.46,0.14,77.26,Top revenue concentration
205,campaign_475,22,305.65,0.14,77.40,Top revenue concentration
206,campaign_589,29,304.58,0.14,77.54,Top revenue concentration
207,campaign_496,38,298.67,0.14,77.67,Top revenue concentration
208,campaign_415,27,298.53,0.14,77.81,Top revenue concentration
209,campaign_419,67,298.20,0.14,77.94,Top revenue concentration
210,campaign_414,25,297.56,0.14,78.08,Top revenue concentration
211,campaign_145,8,297.38,0.14,78.22,Top revenue concentration
212,campaign_167,6,294.91,0.13,78.35,Top revenue concentration
213,campaign_528,19,293.30,0.13,78.48,Top revenue concentration
214,campaign_401,31,292.98,0.13,78.62,Top revenue concentration
215,campaign_77,25,290.93,0.13,78.75,Top revenue concentration
216,campaign_562,4,290.15,0.13,78.88,Top revenue concentration
217,campaign_120,22,289.63,0.13,79.01,Top revenue concentration
218,campaign_209,4,289.36,0.13,79.14,Top revenue concentration
219,campaign_525,25,289.03,0.13,79.28,Top revenue concentration
220,campaign_425,90,287.64,0.13,79.41,Top revenue concentration
221,campaign_483,27,285.56,0.13,79.54,Top revenue concentration
222,campaign_153,13,284.10,0.13,79.67,Top revenue concentration
223,campaign_584,9,281.99,0.13,79.79,Top revenue concentration
224,campaign_127,12,278.48,0.13,79.92,Top revenue concentration
225,campaign_110,5,278.30,0.13,80.05,Long tail
226,campaign_296,7,277.99,0.13,80.17,Long tail
227,campaign_558,8,276.54,0.13,80.30,Long tail
228,campaign_117,8,275.49,0.13,80.43,Long tail
229,campaign_183,10,274.15,0.12,80.55,Long tail
230,campaign_3,9,270.25,0.12,80.67,Long tail
231,campaign_82,6,268.72,0.12,80.80,Long tail
232,campaign_569,5,267.79,0.12,80.92,Long tail
233,campaign_573,4,266.62,0.12,81.04,Long tail
234,campaign_422,10,263.00,0.12,81.16,Long tail
235,campaign_164,8,262.82,0.12,81.28,Long tail
236,campaign_309,28,261.28,0.12,81.40,Long tail
237,campaign_542,8,260.30,0.12,81.52,Long tail
238,campaign_409,10,259.64,0.12,81.63,Long tail
239,campaign_380,4,259.27,0.12,81.75,Long tail
240,campaign_307,5,258.51,0.12,81.87,Long tail
241,campaign_295,11,256.27,0.12,81.99,Long tail
242,campaign_128,6,256.08,0.12,82.10,Long tail
243,campaign_80,34,255.20,0.12,82.22,Long tail
244,campaign_76,43,255.17,0.12,82.33,Long tail
245,campaign_320,10,253.79,0.12,82.45,Long tail
246,campaign_338,30,251.40,0.11,82.56,Long tail
247,campaign_54,27,248.46,0.11,82.68,Long tail
248,campaign_430,15,248.10,0.11,82.79,Long tail
249,campaign_36,12,247.02,0.11,82.90,Long tail
250,campaign_526,27,243.44,0.11,83.01,Long tail
251,campaign_310,5,243.17,0.11,83.12,Long tail
252,campaign_383,4,240.36,0.11,83.23,Long tail
253,campaign_480,24,240.14,0.11,83.34,Long tail
254,campaign_21,28,239.95,0.11,83.45,Long tail
255,campaign_405,22,239.08,0.11,83.56,Long tail
256,campaign_34,4,238.40,0.11,83.67,Long tail
257,campaign_460,18,238.30,0.11,83.78,Long tail
258,campaign_585,11,235.89,0.11,83.88,Long tail
259,campaign_527,24,235.80,0.11,83.99,Long tail
260,campaign_58,10,235.16,0.11,84.10,Long tail
261,campaign_404,10,234.55,0.11,84.21,Long tail
262,campaign_523,6,234.26,0.11,84.31,Long tail
263,campaign_92,9,234.20,0.11,84.42,Long tail
264,campaign_47,2,233.78,0.11,84.53,Long tail
265,campaign_440,3,233.39,0.11,84.63,Long tail
266,campaign_184,24,231.92,0.11,84.74,Long tail
267,campaign_70,20,229.20,0.10,84.84,Long tail
268,campaign_505,177,225.39,0.10,84.94,Long tail
269,campaign_179,30,225.34,0.10,85.05,Long tail
270,campaign_81,24,224.04,0.10,85.15,Long tail
271,campaign_416,28,222.75,0.10,85.25,Long tail
272,campaign_412,28,221.57,0.10,85.35,Long tail
273,campaign_434,8,221.57,0.10,85.45,Long tail
274,campaign_65,13,220.88,0.10,85.55,Long tail
275,campaign_579,6,218.93,0.10,85.65,Long tail
276,campaign_242,54,218.44,0.10,85.75,Long tail
277,campaign_539,10,218.41,0.10,85.85,Long tail
278,campaign_219,7,217.78,0.10,85.95,Long tail
279,campaign_211,4,214.65,0.10,86.05,Long tail
280,campaign_8,9,213.06,0.10,86.14,Long tail
281,campaign_121,32,212.85,0.10,86.24,Long tail
282,campaign_283,6,212.14,0.10,86.34,Long tail
283,campaign_1,10,211.67,0.10,86.43,Long tail
284,campaign_547,11,209.61,0.10,86.53,Long tail
285,campaign_417,12,209.07,0.10,86.62,Long tail
286,campaign_504,69,209.06,0.10,86.72,Long tail
287,campaign_481,16,208.26,0.09,86.81,Long tail
288,campaign_299,20,205.24,0.09,86.91,Long tail
289,campaign_72,3,205.18,0.09,87.00,Long tail
290,campaign_249,54,204.70,0.09,87.09,Long tail
291,campaign_347,12,204.09,0.09,87.19,Long tail
292,campaign_250,133,202.47,0.09,87.28,Long tail
293,campaign_348,30,202.37,0.09,87.37,Long tail
294,campaign_408,32,202.23,0.09,87.46,Long tail
295,campaign_221,6,201.82,0.09,87.56,Long tail
296,campaign_268,4,200.29,0.09,87.65,Long tail
297,campaign_278,6,199.86,0.09,87.74,Long tail
298,campaign_490,5,198.16,0.09,87.83,Long tail
299,campaign_232,32,197.24,0.09,87.92,Long tail
300,campaign_428,10,195.32,0.09,88.01,Long tail
301,campaign_349,23,194.65,0.09,88.09,Long tail
302,campaign_389,6,193.56,0.09,88.18,Long tail
303,campaign_39,4,191.71,0.09,88.27,Long tail
304,campaign_317,21,191.48,0.09,88.36,Long tail
305,campaign_245,128,191.34,0.09,88.44,Long tail
306,campaign_429,13,191.02,0.09,88.53,Long tail
307,campaign_482,15,190.81,0.09,88.62,Long tail
308,campaign_521,8,190.29,0.09,88.70,Long tail
309,campaign_233,17,189.86,0.09,88.79,Long tail
310,campaign_218,4,189.80,0.09,88.88,Long tail
311,campaign_25,39,189.62,0.09,88.96,Long tail
312,campaign_32,7,187.96,0.09,89.05,Long tail
313,campaign_506,26,187.52,0.09,89.13,Long tail
314,campaign_571,5,187.42,0.09,89.22,Long tail
315,campaign_439,9,187.30,0.09,89.31,Long tail
316,campaign_493,8,187.00,0.09,89.39,Long tail
317,campaign_97,5,185.96,0.08,89.47,Long tail
318,campaign_447,5,185.73,0.08,89.56,Long tail
319,campaign_290,4,185.15,0.08,89.64,Long tail
320,campaign_438,3,184.17,0.08,89.73,Long tail
321,campaign_303,16,183.92,0.08,89.81,Long tail
322,campaign_515,14,183.62,0.08,89.89,Long tail
323,campaign_367,12,183.49,0.08,89.98,Long tail
324,campaign_465,7,182.12,0.08,90.06,Long tail
325,campaign_246,88,181.76,0.08,90.14,Long tail
326,campaign_113,34,181.44,0.08,90.23,Long tail
327,campaign_56,14,180.92,0.08,90.31,Long tail
328,campaign_372,59,179.96,0.08,90.39,Long tail
329,campaign_119,5,177.89,0.08,90.47,Long tail
330,campaign_572,4,177.72,0.08,90.55,Long tail
331,campaign_435,4,176.27,0.08,90.63,Long tail
332,campaign_548,6,175.67,0.08,90.71,Long tail
333,campaign_236,81,174.97,0.08,90.79,Long tail
334,campaign_360,20,174.49,0.08,90.87,Long tail
335,campaign_308,3,174.21,0.08,90.95,Long tail
336,campaign_533,5,173.62,0.08,91.03,Long tail
337,campaign_586,10,172.12,0.08,91.11,Long tail
338,campaign_518,45,171.63,0.08,91.19,Long tail
339,campaign_40,3,169.05,0.08,91.26,Long tail
340,campaign_98,8,168.49,0.08,91.34,Long tail
341,campaign_441,4,168.17,0.08,91.42,Long tail
342,campaign_484,20,166.95,0.08,91.49,Long tail
343,campaign_351,21,166.60,0.08,91.57,Long tail
344,campaign_509,36,166.50,0.08,91.64,Long tail
345,campaign_275,5,165.26,0.08,91.72,Long tail
346,campaign_61,2,160.38,0.07,91.79,Long tail
347,campaign_50,3,157.86,0.07,91.86,Long tail
348,campaign_410,28,156.75,0.07,91.94,Long tail
349,campaign_471,5,155.46,0.07,92.01,Long tail
350,campaign_79,13,154.20,0.07,92.08,Long tail
351,campaign_241,71,153.87,0.07,92.15,Long tail
352,campaign_235,31,153.27,0.07,92.22,Long tail
353,campaign_89,5,151.41,0.07,92.28,Long tail
354,campaign_470,6,150.41,0.07,92.35,Long tail
355,campaign_217,8,150.32,0.07,92.42,Long tail
356,campaign_411,21,149.92,0.07,92.49,Long tail
357,campaign_329,5,149.25,0.07,92.56,Long tail
358,campaign_162,4,148.14,0.07,92.63,Long tail
359,campaign_267,5,147.69,0.07,92.69,Long tail
360,campaign_282,12,147.47,0.07,92.76,Long tail
361,campaign_396,2,147.17,0.07,92.83,Long tail
362,campaign_343,5,145.33,0.07,92.89,Long tail
363,campaign_474,14,144.91,0.07,92.96,Long tail
364,campaign_541,9,144.58,0.07,93.02,Long tail
365,campaign_88,2,144.11,0.07,93.09,Long tail
366,campaign_328,11,143.78,0.07,93.16,Long tail
367,campaign_508,79,143.59,0.07,93.22,Long tail
368,campaign_544,7,142.63,0.06,93.35,Long tail
369,campaign_26,2,142.63,0.06,93.35,Long tail
370,campaign_514,25,142.18,0.06,93.42,Long tail
371,campaign_520,23,141.98,0.06,93.48,Long tail
372,campaign_531,4,141.65,0.06,93.54,Long tail
373,campaign_254,24,141.37,0.06,93.61,Long tail
374,campaign_374,2,141.36,0.06,93.67,Long tail
375,campaign_540,6,141.05,0.06,93.74,Long tail
376,campaign_512,100,139.98,0.06,93.80,Long tail
377,campaign_210,4,139.21,0.06,93.86,Long tail
378,campaign_300,16,138.45,0.06,93.93,Long tail
379,campaign_305,22,137.70,0.06,93.99,Long tail
380,campaign_519,28,137.49,0.06,94.05,Long tail
381,campaign_93,2,135.52,0.06,94.11,Long tail
382,campaign_304,12,134.16,0.06,94.18,Long tail
383,campaign_256,6,133.14,0.06,94.24,Long tail
384,campaign_134,1,132.17,0.06,94.30,Long tail
385,campaign_46,2,131.89,0.06,94.36,Long tail
386,campaign_476,1,129.66,0.06,94.42,Long tail
387,campaign_15,7,129.64,0.06,94.47,Long tail
388,campaign_163,8,128.66,0.06,94.53,Long tail
389,campaign_114,27,128.15,0.06,94.59,Long tail
390,campaign_115,7,127.23,0.06,94.65,Long tail
391,campaign_537,9,126.74,0.06,94.71,Long tail
392,campaign_492,11,126.17,0.06,94.76,Long tail
393,campaign_399,10,123.87,0.06,94.82,Long tail
394,campaign_244,16,123.00,0.06,94.88,Long tail
395,campaign_445,18,121.71,0.06,94.93,Long tail
396,campaign_64,2,121.13,0.06,94.99,Long tail
397,campaign_301,5,120.44,0.05,95.04,Long tail
398,campaign_146,2,118.93,0.05,95.10,Long tail
399,campaign_464,4,118.59,0.05,95.15,Long tail
400,campaign_550,9,118.36,0.05,95.20,Long tail
401,campaign_458,2,117.09,0.05,95.26,Long tail
402,campaign_472,16,114.82,0.05,95.31,Long tail
403,campaign_292,2,109.86,0.05,95.36,Long tail
404,campaign_516,15,109.85,0.05,95.41,Long tail
405,campaign_177,2,109.18,0.05,95.46,Long tail
406,campaign_159,2,107.97,0.05,95.51,Long tail
407,campaign_377,8,107.83,0.05,95.56,Long tail
408,campaign_559,3,107.82,0.05,95.61,Long tail
409,campaign_442,1,106.80,0.05,95.65,Long tail
410,campaign_503,6,106.39,0.05,95.70,Long tail
411,campaign_237,20,105.94,0.05,95.75,Long tail
412,campaign_206,2,104.42,0.05,95.80,Long tail
413,campaign_266,2,101.39,0.05,95.84,Long tail
414,campaign_12,2,101.04,0.05,95.89,Long tail
415,campaign_269,5,100.83,0.05,95.98,Long tail
416,campaign_135,2,100.83,0.05,95.98,Long tail
417,campaign_583,15,100.32,0.05,96.03,Long tail
418,campaign_543,2,96.62,0.04,96.07,Long tail
419,campaign_31,4,95.41,0.04,96.12,Long tail
420,campaign_66,4,94.02,0.04,96.16,Long tail
421,campaign_413,5,91.42,0.04,96.20,Long tail
422,campaign_260,5,89.67,0.04,96.24,Long tail
423,campaign_330,5,89.38,0.04,96.28,Long tail
424,campaign_588,7,88.44,0.04,96.32,Long tail
425,campaign_397,2,88.15,0.04,96.36,Long tail
426,campaign_477,5,87.81,0.04,96.40,Long tail
427,campaign_535,2,87.13,0.04,96.48,Long tail
428,campaign_214,2,87.13,0.04,96.48,Long tail
429,campaign_255,3,86.18,0.04,96.52,Long tail
430,campaign_342,2,85.57,0.04,96.56,Long tail
431,campaign_473,2,84.92,0.04,96.60,Long tail
432,campaign_400,19,84.62,0.04,96.64,Long tail
433,campaign_175,2,84.00,0.04,96.67,Long tail
434,campaign_172,5,83.67,0.04,96.71,Long tail
435,campaign_392,2,82.84,0.04,96.75,Long tail
436,campaign_294,4,80.30,0.04,96.79,Long tail
437,campaign_580,4,80.23,0.04,96.82,Long tail
438,campaign_491,2,80.09,0.04,96.86,Long tail
439,campaign_421,2,78.43,0.04,96.90,Long tail
440,campaign_243,41,78.26,0.04,96.93,Long tail
441,campaign_517,18,77.54,0.04,96.97,Long tail
442,campaign_297,3,77.07,0.04,97.00,Long tail
443,campaign_469,2,75.83,0.03,97.04,Long tail
444,campaign_230,3,74.84,0.03,97.07,Long tail
445,campaign_352,3,74.61,0.03,97.10,Long tail
446,campaign_406,1,74.45,0.03,97.14,Long tail
447,campaign_486,2,74.20,0.03,97.17,Long tail
448,campaign_51,1,73.98,0.03,97.21,Long tail
449,campaign_370,1,73.98,0.03,97.24,Long tail
450,campaign_323,1,73.97,0.03,97.27,Long tail
451,campaign_262,1,73.47,0.03,97.31,Long tail
452,campaign_105,1,72.21,0.03,97.34,Long tail
453,campaign_69,1,71.32,0.03,97.37,Long tail
454,campaign_169,1,70.04,0.03,97.44,Long tail
455,campaign_168,1,70.04,0.03,97.44,Long tail
456,campaign_590,3,70.01,0.03,97.47,Long tail
457,campaign_546,2,69.68,0.03,97.50,Long tail
458,campaign_240,2,69.64,0.03,97.53,Long tail
459,campaign_587,2,69.57,0.03,97.56,Long tail
460,campaign_251,2,69.52,0.03,97.59,Long tail
461,campaign_337,2,69.27,0.03,97.63,Long tail
462,campaign_43,1,68.68,0.03,97.69,Long tail
463,campaign_379,1,68.68,0.03,97.69,Long tail
464,campaign_529,2,68.26,0.03,97.72,Long tail
465,campaign_363,2,67.73,0.03,97.75,Long tail
466,campaign_223,1,66.55,0.03,97.78,Long tail
467,campaign_73,2,66.28,0.03,97.81,Long tail
468,campaign_513,4,65.29,0.03,97.84,Long tail
469,campaign_57,2,65.14,0.03,97.87,Long tail
470,campaign_534,4,64.98,0.03,97.90,Long tail
471,campaign_402,2,64.79,0.03,97.93,Long tail
472,campaign_488,3,63.72,0.03,97.96,Long tail
473,campaign_591,1,63.71,0.03,97.99,Long tail
474,campaign_264,1,62.37,0.03,98.02,Long tail
475,campaign_239,2,61.09,0.03,98.04,Long tail
476,campaign_511,3,60.57,0.03,98.07,Long tail
477,campaign_215,1,60.57,0.03,98.10,Long tail
478,campaign_339,2,59.33,0.03,98.12,Long tail
479,campaign_426,1,58.87,0.03,98.15,Long tail
